TDP_1,TDP_2,TD_1,TD_2,ctrl_1,ctrl_2,details,event_date,event_loc,event_name,f1_res,f2_res,fight_class,fight_result,fighter_name_1,fighter_name_2,judge_1,judge_2,judge_3,kd_1,kd_2,method,r1_TDP_1,r1_TDP_2,r1_TD_1,r1_TD_2,r1_ctrl_1,r1_ctrl_2,r1_rev_1,r1_rev_2,r1_sig_strP_1,r1_sig_strP_2,r1_sig_str_1,r1_sig_str_2,r1_sub_att_1,r1_sub_att_2,r1_tot_str_1,r1_tot_str_2,referee,rev_1,rev_2,round,sig_strP_1,sig_strP_2,sig_str_1,sig_str_2,sub_att_1,sub_att_2,time,time_format,tot_body_1,tot_body_2,tot_clinch_1,tot_clinch_2,tot_dist_1,tot_dist_2,tot_ground_1,tot_ground_2,tot_head_1,tot_head_2,tot_leg_1,tot_leg_2,tot_str_1,tot_str_2
0%,22%,"0,1","2,9",1:21,6:41,Judge,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil",UFC Fight Night: Blachowicz vs. Jacare,L,W,Middleweight Bout,"L,Markus Perez,""Maluko"",W,Wellington Turman,""The Prodigy""",Markus Perez,Wellington Turman,Chris Lee-27 - 30.,Marcelo Vilhena-27 - 30.,Guilherme Bravo-27 - 30.,0,0,Decision - Unanimous,---,0%,"0,0","0,5",0:35,1:23,0,0,41%,25%,"12,29","9,35",0,0,"13,30","9,35",Eduardo Herdy,0,0,3,51%,40%,"49,96","48,120",0,0,5:00,3 Rnd (5-5-5),"13,21","8,12","21,26","19,21","26,67","23,91","2,3","6,8","33,72","35,103","3,3","5,5","56,103","59,132"
100%,42%,"1,1","3,7",5:03,5:21,Judge,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil",UFC Fight Night: Blachowicz vs. Jacare,L,W,Middleweight Bout,"L,Antonio Arroyo,W,Andre Muniz,""Sergipano""",Antonio Arroyo,Andre Muniz,Sal D'amato-27 - 30.,Marcelo Vilhena-27 - 30.,Chris Lee-27 - 30.,0,0,Decision - Unanimous,100%,33%,"1,1","1,3",1:19,0:47,0,0,61%,52%,"16,26","13,25",0,1,"17,27","20,33",Camila Albuquerque,1,0,3,61%,52%,"29,47","22,42",0,2,5:00,3 Rnd (5-5-5),"5,7","8,10","0,0","1,1","21,36","20,40","8,11","1,1","20,35","12,30","4,5","2,2","47,67","85,128"
0%,---,"0,1","0,0",0:02,0:05,Punch to Head At Distance,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil",UFC Fight Night: Blachowicz vs. Jacare,W,L,Lightweight Bout,"W,Charles Oliveira,""Do Bronx"",L,Jared Gordon,""Flash""",Charles Oliveira,Jared Gordon,,,,1,0,KO/TKO,0%,---,"0,1","0,0",0:02,0:05,0,0,62%,38%,"10,16","7,18",0,0,"10,16","7,18",Osiris Maia,0,0,1,62%,38%,"10,16","7,18",0,0,1:26,3 Rnd (5-5-5),"1,3","0,2","0,0","0,0","8,14","7,18","2,2","0,0","5,9","7,16","4,4","0,0","10,16","7,18"
33%,25%,"1,3","1,4",8:19,1:17,Judge,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil",UFC Fight Night: Blachowicz vs. Jacare,D,D,Light Heavyweight Bout,"D,Mauricio Rua,""Shogun"",D,Paul Craig,""Bearjew""",Mauricio Rua,Paul Craig,Sal D'amato-28 - 29.,Marcelo Vilhena-29 - 28.,Guilherme Bravo-28 - 28.,0,0,Decision - Split,0%,0%,"0,2","0,2",1:23,1:06,0,0,29%,53%,"7,24","31,58",0,1,"14,32","45,72",Jerin Valel,0,0,3,37%,51%,"25,66","51,99",0,1,5:00,3 Rnd (5-5-5),"1,2","14,20","1,1","9,13","16,48","39,82","8,17","3,4","19,57","30,71","5,7","7,8","51,108","106,160"
---,0%,"0,0","0,5",0:04,8:25,Judge,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil",UFC Fight Night: Blachowicz vs. Jacare,W,L,Light Heavyweight Bout,"W,Jan Blachowicz,L,Jacare Souza",Jan Blachowicz,Jacare Souza,Chris Lee-47 - 48.,Hallison Pontes-48 - 47.,Sal D'amato-47 - 48.,0,0,Decision - Split,---,0%,"0,0","0,1",0:00,3:29,0,0,50%,40%,"8,16","2,5",0,0,"17,25","7,14",Kevin MacDonald,0,0,5,41%,41%,"71,170","20,48",0,0,5:00,5 Rnd (5-5-5-5-5),"13,20","3,10","12,16","2,3","59,154","18,45","0,0","0,0","38,121","8,28","20,29","9,10","105,205","56,88"
0%,0%,"0,2","0,1",0:18,0:49,Judge,"November 09, 2019","Moscow, Moscow, Russia",UFC Fight Night: Zabit vs. Kattar,L,W,Women's Bantamweight Bout,"L,Jessica-Rose Clark,W,Pannie Kianzad,""Banzai""",Jessica-Rose Clark,Pannie Kianzad,Mark Collett-27 - 30.,David Lethaby-27 - 30.,Magomed Magomedov-27 - 30.,0,0,Decision - Unanimous,0%,---,"0,2","0,0",0:18,0:07,0,0,38%,32%,"19,50","24,74",0,0,"21,52","27,77",Rich Mitchell,0,0,3,41%,41%,"65,157","98,238",0,0,5:00,3 Rnd (5-5-5),"6,16","14,30","0,0","5,9","65,157","93,229","0,0","0,0","37,117","71,194","22,24","13,14","71,163","103,243"
37%,---,"3,8","0,0",6:19,1:55,Judge,"November 09, 2019","Moscow, Moscow, Russia",UFC Fight Night: Zabit vs. Kattar,L,W,Lightweight Bout,"L,Alexander Yakovlev,""Russian Thunder"",W,Roosevelt Roberts,""The Predator""",Alexander Yakovlev,Roosevelt Roberts,Lukasz Porebski-28 - 29.,Howard Hughes-28 - 29.,Clemens Werner-28 - 29.,0,0,Decision - Unanimous,0%,---,"0,1","0,0",1:03,0:22,0,0,50%,32%,"8,16","16,49",0,0,"8,16","19,52",Leon Roberts,0,0,3,40%,28%,"20,49","28,98",0,0,5:00,3 Rnd (5-5-5),"6,9","2,4","1,1","1,2","12,38","27,96","7,10","0,0","8,34","22,90","6,6","4,4","38,71","56,128"
100%,---,"1,1","0,0",1:50,0:00,Triangle Choke From Bottom Guard,"November 09, 2019","Moscow, Moscow, Russia",UFC Fight Night: Zabit vs. Kattar,L,W,Welterweight Bout,"L,Abubakar Nurmagomedov,W,David Zawada,""Sagat""",Abubakar Nurmagomedov,David Zawada,,,,0,0,Submission,100%,---,"1,1","0,0",1:50,0:00,0,0,44%,18%,"4,9","2,11",0,2,"22,34","25,34",Marc Goddard,0,0,1,44%,18%,"4,9","2,11",0,2,2:50,3 Rnd (5-5-5),"0,0","1,3","0,0","0,0","4,9","2,11","0,0","0,0","3,8","0,7","1,1","1,1","22,34","25,34"
0%,33%,"0,1","1,3",0:02,0:56,Rear Naked Choke,"November 09, 2019","Moscow, Moscow, Russia",UFC Fight Night: Zabit vs. Kattar,L,W,Middleweight Bout,"L,Roman Kopylov,W,Karl Roberson,""Baby K""",Roman Kopylov,Karl Roberson,,,,0,0,Submission,---,---,"0,0","0,0",0:00,0:06,0,0,42%,23%,"12,28","9,38",0,0,"12,28","9,38",Vyacheslav  Kiselev,0,0,3,38%,36%,"37,95","43,117",0,1,4:01,3 Rnd (5-5-5),"15,20","3,10","0,0","2,2","37,95","41,115","0,0","0,0","19,72","14,77","3,3","26,30","38,96","43,117"
33%,---,"4,12","0,0",10:35,0:07,Judge,"November 09, 2019","Moscow, Moscow, Russia",UFC Fight Night: Zabit vs. Kattar,W,L,Welterweight Bout,"W,Rustam Khabilov,""Tiger"",L,Sergey Khandozhko,""Honda""",Rustam Khabilov,Sergey Khandozhko,Lukasz Bosacki-27 - 30.,Magomed Magomedov-28 - 29.,Paul Sutherland-28 - 29.,0,0,Decision - Unanimous,0%,---,"0,5","0,0",2:30,0:00,0,0,38%,53%,"5,13","15,28",0,0,"5,13","17,30",Rich Mitchell,0,0,3,42%,49%,"12,28","25,51",0,0,5:00,3 Rnd (5-5-5),"3,4","0,3","0,0","2,2","8,23","23,49","4,5","0,0","6,21","12,33","3,3","13,15","56,79","188,219"
33%,0%,"1,3","0,2",5:34,0:20,Kick to Head At Distance      Front Kick,"November 09, 2019","Moscow, Moscow, Russia",UFC Fight Night: Zabit vs. Kattar,W,L,Light Heavyweight Bout,"W,Magomed Ankalaev,L,Dalcha Lungiambula,""Champion""",Magomed Ankalaev,Dalcha Lungiambula,,,,1,0,KO/TKO,0%,---,"0,2","0,0",1:08,0:18,0,0,54%,25%,"20,37","5,20",0,0,"28,46","8,23",Marc Goddard,0,0,3,65%,23%,"44,67","6,26",0,0,0:29,3 Rnd (5-5-5),"12,16","2,3","4,5","1,1","23,44","5,25","17,18","0,0","28,45","4,23","4,6","0,0","91,123","13,33"
0%,50%,"0,1","1,2",0:11,1:46,Judge,"November 09, 2019","Moscow, Moscow, Russia",UFC Fight Night: Zabit vs. Kattar,W,L,Light Heavyweight Bout,"W,Shamil Gamzatov,L,Klidson Abreu,""White Bear""",Shamil Gamzatov,Klidson Abreu,Howard Hughes-28 - 29.,Lukasz Bosacki-29 - 28.,Paul Sutherland-28 - 29.,0,0,Decision - Split,---,---,"0,0","0,0",0:00,0:00,0,0,50%,37%,"30,60","10,27",0,0,"30,60","10,27",Leon Roberts,0,0,3,46%,41%,"64,138","32,78",0,0,5:00,3 Rnd (5-5-5),"23,34","7,15","0,0","1,1","64,138","31,76","0,0","0,1","10,59","11,48","31,45","14,15","82,158","47,95"
0%,---,"0,9","0,0",2:44,0:11,Judge,"November 09, 2019","Moscow, Moscow, Russia",UFC Fight Night: Zabit vs. Kattar,L,W,Welterweight Bout,"L,Ramazan Emeev,""Gorets"",W,Anthony Rocco Martin",Ramazan Emeev,Anthony Rocco Martin,Mark Collett-27 - 30.,David Lethaby-28 - 29.,Clemens Werner-28 - 29.,0,0,Decision - Unanimous,0%,---,"0,3","0,0",1:45,0:03,0,0,37%,37%,"10,27","12,32",0,1,"14,31","13,34",Marc Goddard,0,0,3,32%,29%,"30,92","41,140",0,2,5:00,3 Rnd (5-5-5),"2,4","0,0","6,6","0,0","24,86","41,140","0,0","0,0","26,84","22,119","2,4","19,21","43,105","48,148"
50%,0%,"2,4","0,4",6:14,2:20,Judge,"November 09, 2019","Moscow, Moscow, Russia",UFC Fight Night: Zabit vs. Kattar,L,W,Light Heavyweight Bout,"L,Khadis Ibragimov,W,Ed Herman,""Short Fuse""",Khadis Ibragimov,Ed Herman,Lukasz Bosacki-27 - 30.,Magomed Magomedov-27 - 30.,Howard Hughes-28 - 29.,0,0,Decision - Unanimous,0%,0%,"0,1","0,1",2:56,0:00,0,0,53%,63%,"17,32","26,41",0,0,"26,43","38,53",Vyacheslav  Kiselev,0,0,3,51%,57%,"53,102","81,140",0,0,5:00,3 Rnd (5-5-5),"4,6","17,19","10,11","43,59","43,91","36,79","0,0","2,2","48,95","49,103","1,1","15,18","70,124","121,183"
100%,12%,"1,1","1,8",2:30,2:19,Punch to Head At Distance,"November 09, 2019","Moscow, Moscow, Russia",UFC Fight Night: Zabit vs. Kattar,L,W,Welterweight Bout,"L,Zelim Imadaev,W,Danny Roberts,""Hot Chocolate""",Zelim Imadaev,Danny Roberts,,,,0,1,KO/TKO,---,25%,"0,0","1,4",1:01,0:42,0,0,35%,64%,"15,42","18,28",0,0,"18,48","21,31",Rich Mitchell,0,0,2,39%,60%,"28,71","37,61",0,0,4:54,3 Rnd (5-5-5),"10,12","17,17","9,11","19,21","19,58","18,40","0,2","0,0","15,54","10,34","3,5","10,10","38,84","42,68"
---,0%,"0,0","0,2",0:00,0:00,Judge,"November 09, 2019","Moscow, Moscow, Russia",UFC Fight Night: Zabit vs. Kattar,W,L,Heavyweight Bout,"W,Alexander Volkov,""Drago"",L,Greg Hardy,""Prince of War""",Alexander Volkov,Greg Hardy,Lukasz Bosacki-27 - 30.,Howard Hughes-27 - 30.,Clemens Werner-27 - 30.,0,0,Decision - Unanimous,---,0%,"0,0","0,1",0:00,0:00,0,0,51%,27%,"23,45","11,40",0,0,"23,45","16,45",Leon Roberts,0,0,3,56%,34%,"86,152","46,135",0,0,5:00,3 Rnd (5-5-5),"26,32","13,29","0,0","0,0","86,152","46,135","0,0","0,0","44,101","23,92","16,19","10,14","86,152","51,140"
25%,---,"1,4","0,0",0:52,0:00,Judge,"November 09, 2019","Moscow, Moscow, Russia",UFC Fight Night: Zabit vs. Kattar,W,L,Featherweight Bout,"W,Zabit Magomedsharipov,L,Calvin Kattar",Zabit Magomedsharipov,Calvin Kattar,Mark Collett-28 - 29.,David Lethaby-28 - 29.,Paul Sutherland-28 - 29.,0,0,Decision - Unanimous,---,---,"0,0","0,0",0:00,0:00,0,0,35%,28%,"34,95","15,52",0,0,"34,95","15,52",Marc Goddard,0,0,3,38%,37%,"96,250","80,213",0,0,5:00,3 Rnd (5-5-5),"14,33","11,21","0,0","0,0","95,249","71,204","1,1","9,9","46,181","61,184","36,36","8,8","100,255","127,260"
---,0%,"0,0","0,1",0:10,0:24,Punch to Head At Distance,"November 02, 2019","New York City, New York, USA",UFC 244: Masvidal vs. Diaz,W,L,Welterweight Bout,"W,Lyman Good,""Cyborg"",L,Chance Rencountre,""Black Eagle""",Lyman Good,Chance Rencountre,,,,1,0,KO/TKO,---,0%,"0,0","0,1",0:08,0:24,0,0,56%,37%,"32,57","9,24",0,0,"37,65","9,26",Keith Peterson,0,0,3,50%,27%,"68,134","23,83",0,0,2:03,3 Rnd (5-5-5),"6,10","14,26","8,9","3,3","59,124","20,80","1,1","0,0","52,113","6,54","10,11","3,3","73,142","23,85"
0%,50%,"0,1","1,2",0:00,2:31,Judge,"November 02, 2019","New York City, New York, USA",UFC 244: Masvidal vs. Diaz,W,L,Women's Flyweight Bout,"W,Katlyn Chookagian,""Blonde Fighter"",L,Jennifer Maia",Katlyn Chookagian,Jennifer Maia,Derek Cleary-28 - 29.,Eric Colon-28 - 29.,Sal D'amato-28 - 29.,0,0,Decision - Unanimous,---,---,"0,0","0,0",0:00,0:33,0,0,34%,30%,"21,61","22,73",0,0,"22,62","26,77",Kevin MacDonald,0,0,3,40%,25%,"73,180","58,231",0,0,5:00,3 Rnd (5-5-5),"15,21","5,13","0,0","1,2","73,180","57,228","0,0","0,1","45,142","31,193","13,17","22,25","109,217","74,248"
---,---,"0,0","0,0",0:00,0:02,Punch to Head At Distance,"November 02, 2019","New York City, New York, USA",UFC 244: Masvidal vs. Diaz,L,W,Heavyweight Bout,"L,Andrei Arlovski,""The Pitbull"",W,Jairzinho Rozenstruik,""Bigi Boy""",Andrei Arlovski,Jairzinho Rozenstruik,,,,0,1,KO/TKO,---,---,"0,0","0,0",0:00,0:02,0,0,44%,55%,"4,9","5,9",0,0,"4,9","5,9",Dan Miragliotta,0,0,1,44%,55%,"4,9","5,9",0,0,0:29,3 Rnd (5-5-5),"0,0","0,0","0,0","0,0","4,9","5,9","0,0","0,0","1,6","4,8","3,3","1,1","4,9","5,9"
---,---,"0,0","0,0",0:00,0:04,Kick to Head At Distance,"November 02, 2019","New York City, New York, USA",UFC 244: Masvidal vs. Diaz,L,W,Middleweight Bout,"L,Brad Tavares,W,Edmen Shahbazyan,""The Golden Boy""",Brad Tavares,Edmen Shahbazyan,,,,0,2,KO/TKO,---,---,"0,0","0,0",0:00,0:04,0,0,13%,36%,"3,23","14,38",0,0,"3,23","14,38",Todd Ronald Anderson,0,0,1,13%,36%,"3,23","14,38",0,0,2:27,3 Rnd (5-5-5),"1,1","2,2","0,1","2,4","3,22","10,32","0,0","2,2","1,19","12,36","1,3","0,0","3,23","14,38"
---,15%,"0,0","3,19",3:31,4:19,Punch to Body At Distance,"November 02, 2019","New York City, New York, USA",UFC 244: Masvidal vs. Diaz,W,L,Featherweight Bout,"W,Shane Burgos,""Hurricane"",L,Makwan Amirkhani,""Mr. Finland""",Shane Burgos,Makwan Amirkhani,,,,1,0,KO/TKO,---,30%,"0,0","3,10",0:36,2:45,0,0,35%,57%,"6,17","8,14",0,1,"16,27","9,15",Keith Peterson,0,0,3,67%,45%,"105,155","22,48",0,1,4:32,3 Rnd (5-5-5),"41,43","1,2","15,17","0,0","39,78","21,47","51,60","1,1","61,108","21,46","3,4","0,0","161,217","23,49"
50%,---,"1,2","0,0",0:22,0:19,Punches to Head At Distance,"November 02, 2019","New York City, New York, USA",UFC 244: Masvidal vs. Diaz,W,L,Light Heavyweight Bout,"W,Corey Anderson,""Overtime"",L,Johnny Walker",Corey Anderson,Johnny Walker,,,,1,0,KO/TKO,50%,---,"1,2","0,0",0:22,0:19,0,0,56%,33%,"22,39","1,3",0,0,"26,43","1,3",Kevin MacDonald,0,0,1,56%,33%,"22,39","1,3",0,0,2:07,3 Rnd (5-5-5),"1,1","0,0","10,13","0,0","5,15","1,3","7,11","0,0","21,38","0,2","0,0","1,1","26,43","1,3"
---,0%,"0,0","0,1",0:01,0:00,Kick to Head At Distance,"November 02, 2019","New York City, New York, USA",UFC 244: Masvidal vs. Diaz,W,L,Lightweight Bout,"W,Kevin Lee,""The Motown Phenom"",L,Gregor Gillespie,""The Gift""",Kevin Lee,Gregor Gillespie,,,,1,0,KO/TKO,---,0%,"0,0","0,1",0:01,0:00,0,0,35%,19%,"21,59","9,46",0,0,"21,59","9,46",Dan Miragliotta,0,0,1,35%,19%,"21,59","9,46",0,0,2:47,3 Rnd (5-5-5),"2,4","0,0","0,2","0,0","20,56","9,46","1,1","0,0","19,55","8,45","0,0","1,1","21,59","9,46"
33%,50%,"1,3","3,6",2:07,3:20,Judge,"November 02, 2019","New York City, New York, USA",UFC 244: Masvidal vs. Diaz,W,L,Heavyweight Bout,"W,Derrick Lewis,""The Black Beast"",L,Blagoy Ivanov,""Baga""",Derrick Lewis,Blagoy Ivanov,Dave Tirelli-27 - 30.,Eric Colon-29 - 28.,Chris Lee-28 - 29.,0,0,Decision - Split,100%,50%,"1,1","1,2",1:53,0:44,0,0,44%,80%,"8,18","4,5",0,0,"9,19","23,24",Todd Ronald Anderson,0,0,3,45%,52%,"31,68","20,38",0,1,5:00,3 Rnd (5-5-5),"8,11","7,10","22,41","8,14","9,27","12,24","0,0","0,0","21,54","12,27","2,3","1,1","32,69","61,83"
---,---,"0,0","0,0",0:11,0:01,Judge,"November 02, 2019","New York City, New York, USA",UFC 244: Masvidal vs. Diaz,W,L,Welterweight Bout,"W,Stephen Thompson,""Wonderboy"",L,Vicente Luque,""The Silent Assassin""",Stephen Thompson,Vicente Luque,Derek Cleary-26 - 30.,Doug Crosby-26 - 30.,Sal D'amato-27 - 29.,1,0,Decision - Unanimous,---,---,"0,0","0,0",0:00,0:01,0,0,64%,56%,"32,50","38,67",0,0,"32,50","38,67",Keith Peterson,0,0,3,57%,44%,"138,242","77,175",0,0,5:00,3 Rnd (5-5-5),"21,23","9,18","3,3","1,3","126,227","76,172","9,12","0,0","111,212","26,107","6,7","42,50","138,242","77,175"
25%,50%,"1,4","1,2",2:43,0:38,Judge,"November 02, 2019","New York City, New York, USA",UFC 244: Masvidal vs. Diaz,L,W,Middleweight Bout,"L,Kelvin Gastelum,W,Darren Till,""The Gorilla""",Kelvin Gastelum,Darren Till,Dave Tirelli-30 - 27.,Eric Colon-28 - 29.,Chris Lee-27 - 30.,0,0,Decision - Split,---,---,"0,0","0,0",1:35,0:30,0,0,47%,43%,"11,23","7,16",0,0,"15,31","7,17",Kevin MacDonald,0,0,3,49%,53%,"40,81","36,67",0,0,5:00,3 Rnd (5-5-5),"11,14","2,2","14,18","2,6","26,63","34,61","0,0","0,0","8,41","19,48","21,26","15,17","50,96","37,69"
100%,0%,"1,1","0,2",6:56,0:44,Facial Cuts,"November 02, 2019","New York City, New York, USA",UFC 244: Masvidal vs. Diaz,W,L,Welterweight Bout,"W,Jorge Masvidal,""Gamebred"",L,Nate Diaz",Jorge Masvidal,Nate Diaz,,,,2,0,TKO - Doctor's Stoppage,---,---,"0,0","0,0",2:58,0:19,0,0,64%,48%,"35,54","13,27",0,0,"37,57","34,52",Dan Miragliotta,0,0,3,62%,41%,"112,179","43,104",0,0,5:00,5 Rnd (5-5-5-5-5),"27,35","12,21","20,25","10,13","52,92","33,91","40,62","0,0","78,136","23,74","7,8","8,9","114,184","125,194"
16%,33%,"1,6","1,3",0:23,2:02,Judge,"October 26, 2019","Kallang, Singapore",UFC Fight Night: Maia vs. Askren,W,L,Women's Strawweight Bout,"W,Loma Lookboonmee,L,Aleksandra Albu,""Stitch""",Loma Lookboonmee,Aleksandra Albu,Mark Collett-27 - 30.,Pawel Harasim-27 - 30.,Barry Foley-29 - 28.,0,0,Decision - Split,0%,0%,"0,2","0,2",0:00,0:23,0,0,64%,36%,"38,59","19,52",0,0,"38,59","22,56",Daniel Movahedi,0,0,3,65%,41%,"99,151","65,157",0,0,5:00,3 Rnd (5-5-5),"54,71","21,25","61,77","29,39","38,74","34,114","0,0","2,4","31,66","42,128","14,14","2,4","112,164","77,171"
---,---,"0,0","0,0",0:00,0:14,Punches to Head At Distance,"October 26, 2019","Kallang, Singapore",UFC Fight Night: Maia vs. Askren,L,W,Heavyweight Bout,"L,Maurice Greene,""The Crochet Boss"",W,Sergei Pavlovich",Maurice Greene,Sergei Pavlovich,,,,0,1,KO/TKO,---,---,"0,0","0,0",0:00,0:14,0,0,36%,54%,"8,22","20,37",0,0,"8,22","21,38",Herb Dean,0,0,1,36%,54%,"8,22","20,37",0,0,2:11,3 Rnd (5-5-5),"1,2","0,1","0,0","5,8","8,22","7,17","0,0","8,12","1,11","20,36","6,9","0,0","8,22","21,38"
20%,36%,"1,5","4,11",0:38,2:12,Judge,"October 26, 2019","Kallang, Singapore",UFC Fight Night: Maia vs. Askren,L,W,Featherweight Bout,"L,Enrique Barzola,""El Fuerte"",W,Movsar Evloev",Enrique Barzola,Movsar Evloev,Mark Collett-28 - 29.,Howard Hughes-28 - 29.,Pawel Harasim-27 - 30.,0,0,Decision - Unanimous,---,100%,"0,0","2,2",0:00,1:11,0,0,32%,22%,"20,62","16,71",0,0,"21,63","22,81",Leon Roberts,0,0,3,33%,30%,"78,234","71,233",0,0,5:00,3 Rnd (5-5-5),"21,31","3,5","6,7","4,10","64,212","66,221","8,15","1,2","48,189","63,220","9,14","5,8","83,239","78,244"
0%,100%,"0,11","1,1",1:01,1:34,Judge,"October 26, 2019","Kallang, Singapore",UFC Fight Night: Maia vs. Askren,L,W,Lightweight Bout,"L,Alex White,""The Spartan"",W,Rafael Fiziev,""Ataman""",Alex White,Rafael Fiziev,Barry Foley-28 - 29.,Pawel Harasim-27 - 30.,Takeo Kobayashi-27 - 30.,0,0,Decision - Unanimous,0%,---,"0,3","0,0",0:14,0:31,0,0,36%,54%,"14,38","26,48",0,0,"15,39","26,48",Kevin Sataki,0,0,3,41%,50%,"55,133","66,131",0,0,5:00,3 Rnd (5-5-5),"15,27","12,26","18,25","14,22","36,107","52,109","1,1","0,0","37,102","40,86","3,4","14,19","66,146","73,138"
0%,33%,"0,1","2,6",3:05,5:37,Judge,"October 26, 2019","Kallang, Singapore",UFC Fight Night: Maia vs. Askren,W,L,Women's Strawweight Bout,"W,Randa Markos,""Quiet Storm"",L,Ashley Yoder,""Spider Monkey""",Randa Markos,Ashley Yoder,Mark Collett-28 - 29.,Howard Hughes-28 - 29.,Evan Field-29 - 28.,0,0,Decision - Split,0%,33%,"0,1","1,3",1:28,2:41,0,0,80%,68%,"8,10","11,16",0,0,"9,11","22,27",Daniel Movahedi,1,1,3,55%,41%,"78,140","44,107",0,0,5:00,3 Rnd (5-5-5),"10,13","11,16","26,33","5,10","42,93","24,80","10,14","15,17","58,116","30,84","10,11","3,7","94,158","82,148"
60%,0%,"3,5","0,3",0:30,0:00,Judge,"October 26, 2019","Kallang, Singapore",UFC Fight Night: Maia vs. Askren,W,L,Welterweight Bout,"W,Muslim Salikhov,""King of Kung Fu"",L,Laureano Staropoli,""Pepi""",Muslim Salikhov,Laureano Staropoli,Evan Field-26 - 30.,Howard Hughes-26 - 30.,Takeo Kobayashi-28 - 29.,0,0,Decision - Unanimous,---,---,"0,0","0,0",0:00,0:00,0,0,38%,24%,"8,21","6,25",0,0,"8,21","6,25",Thomas Fan,0,0,3,47%,30%,"63,132","42,138",0,0,5:00,3 Rnd (5-5-5),"15,20","13,25","11,18","2,3","49,109","40,135","3,5","0,0","41,105","26,110","7,7","3,3","64,133","48,144"
100%,---,"3,3","0,0",2:17,0:02,Heel Hook From Guard,"October 26, 2019","Kallang, Singapore",UFC Fight Night: Maia vs. Askren,W,L,Heavyweight Bout,"W,Ciryl Gane,""Bon Gamin"",L,Don'Tale Mayes,""Lord Kong""",Ciryl Gane,Don'Tale Mayes,,,,1,0,Submission,---,---,"0,0","0,0",0:07,0:00,0,0,50%,28%,"39,78","15,52",0,0,"40,79","15,52",Herb Dean,0,0,3,55%,26%,"94,168","32,121",1,0,4:46,3 Rnd (5-5-5),"30,40","5,9","22,29","2,3","68,128","30,118","4,11","0,0","50,112","14,90","14,16","13,22","99,173","40,132"
---,100%,"0,0","2,2",0:00,0:45,Rear Naked Choke,"October 26, 2019","Kallang, Singapore",UFC Fight Night: Maia vs. Askren,L,W,Lightweight Bout,"L,Frank Camacho,""The Crank"",W,Beneil Dariush",Frank Camacho,Beneil Dariush,,,,0,0,Submission,---,100%,"0,0","2,2",0:00,0:45,0,0,33%,72%,"3,9","13,18",0,1,"3,9","14,19",Kevin Sataki,0,0,1,33%,72%,"3,9","13,18",0,1,2:02,3 Rnd (5-5-5),"2,2","3,3","1,1","2,2","2,8","11,16","0,0","0,0","1,7","8,13","0,0","2,2","3,9","14,19"
---,25%,"0,0","1,4",0:00,2:54,Judge,"October 26, 2019","Kallang, Singapore",UFC Fight Night: Maia vs. Askren,L,W,Lightweight Bout,"L,Michael Johnson,""The Menace"",W,Stevie Ray,""Braveheart""",Michael Johnson,Stevie Ray,Pawel Harasim-28 - 29.,Barry Foley-28 - 29.,Evan Field-28 - 28.,0,0,Decision - Majority,---,0%,"0,0","0,1",0:00,0:00,0,0,45%,43%,"27,59","24,55",0,0,"27,59","25,56",Leon Roberts,0,0,3,45%,45%,"78,173","85,188",0,0,5:00,3 Rnd (5-5-5),"19,26","4,4","1,1","0,0","77,172","57,142","0,0","28,46","46,134","59,156","13,13","22,28","81,176","104,207"
---,57%,"0,0","4,7",1:30,1:54,Rear Naked Choke,"October 26, 2019","Kallang, Singapore",UFC Fight Night: Maia vs. Askren,W,L,Welterweight Bout,"W,Demian Maia,L,Ben Askren,""Funky""",Demian Maia,Ben Askren,,,,0,0,Submission,---,50%,"0,0","1,2",0:00,0:46,0,0,51%,60%,"28,54","27,45",0,0,"31,57","44,62",Herb Dean,2,1,3,56%,49%,"69,122","63,127",1,0,3:54,5 Rnd (5-5-5-5-5),"25,34","4,6","17,20","11,13","49,99","46,108","3,3","6,6","44,88","54,116","0,0","5,5","84,137","102,168"
66%,100%,"2,3","1,1",2:53,4:43,Rear Naked Choke,"October 18, 2019","Boston, Massachusetts, USA",UFC Fight Night: Reyes vs. Weidman,W,L,Middleweight Bout,"W,Brendan Allen,""All In"",L,Kevin Holland,""Trailblazer""",Brendan Allen,Kevin Holland,,,,0,0,Submission,66%,---,"2,3","0,0",1:52,2:44,1,1,40%,77%,"2,5","14,18",3,1,"6,10","19,24",Steve Rita,2,1,2,45%,57%,"10,22","22,38",4,1,3:38,3 Rnd (5-5-5),"1,1","5,6","1,1","0,0","5,14","12,26","4,7","10,12","7,19","14,27","2,2","3,5","23,41","37,55"
